user,comments,
Naveed Ahmad,Great,
Ghulam Khan,Great jui,
Islam Uddin Islam Uddin,great leader,
Zakir Durrani,Great leader,
Muhib Khan,Great leader,
Amir Khan,Great ledar,
Jawad Ali,Great molana zenda baad,
Ghulam Khan,Great molnaa,
Asmat Ullah,great monlana sayeb,
Mamoor Raiyan,Great Mulana,
Asmat Butt,Great mulna shb god bless you always,
Rizwan Khan Baba,Haha,
Armman Khan,Hahahahaha choro ka dalal Dezali tabah de,
Shahzar Khan,Hahahahahahahahahahahahahahahehehehehehehehehehehehehehehehehehehehehe,
Fazal Khan,Haram khoro ka sardar,
Ahsan Chaudhary,Harami choor kuta choor,
Ahsan Chaudhary,Harami polvi,
Hassan Shaikh,haramiyon ka channel jo in choron ko promote karta hai ye chor khud foriegn funding le rahe hain kitne salon se inka bhi hisab hona chahiye chor daku lootere  hain sab k sab ALLAH TALA in sab par apna sakht azab nazil kare inhe naist o naboot kare amee…,
Afaq Ahmad,Hero of the Pakistan molna,
Wajahat Rahim,I support khan,
Gul Zameen Khan,Iiiiiiiiiiiiiiiii  jui,
Hamid Khan K Khan,IMRAN KHAN,
Hamid Khan K Khan,IMRAN KHAN,
Raj Sangal,Imran Khan xindabad,
Hamid Khan K Khan,IMRAN KHAN ZINDABAD,
Syed Asad Kazmi,Imran niazy sab per bhary.,
Syed Asad Kazmi,Imran niazy zindabad.,
Mohammad Mehboob Ayan Ali,In shaa ALLAH....,
Abo Adnan Faroqi,"In.Sa,b-ki.shaklen.dakho.",
Dildar Shah,India igant gadar desal,
Merza Nasar,Insha Allah,
Hasan Kh An,Inshallah,
Arshad Niazi,Is Ki Kya okat molana ki,
Abdul Rashid Wani,Iss zalil fazurrehman ko Kashmir ana chaya iss ki gand me goli bar do ga,
Muhammad Sarfraz,Jaa laanatt tery marny tak,
Yasir Rajpoot Rajpoot,Jab se tum ne dhrne deay han zamendar zlli  ho rhy han,
Fazli Wahid Fazli Wahid,Jeo jui jeo maolana,
Rafiq Ahmed Zaur,jeo molana,
Mohammad Iftikhar Ahmed,Jhoot,
Shahid Ali,jhoot hai,
Shabana Mirza,Jhooto kabi tu sach bolo,
Umar Satti,Jhooton ka tola..  Thugs,
Dildar Shah,Jhota gadar,
Asim Afridi,Jin jin ki behny D Chowk gye thy ab un k han  taqriban dair sal k bachy hain,
Asim Afridi,Jis jis ny mulana k bary me ghalat bayani ki wo apni walda mukhtrma sy apny khqiqat k bary me puch ly,
Muhammad Naeem,Joote,
Zabeeh Zabeeh,Jui,
Agha Ghazi,Jui ham tumara sat haa,
Gul Zameen Khan,Jui ko salaaaaaaaaaaaaam,
Kareem Khan,Jui zandbad,
Ghulam Khan,Jui zindbad,
Ghulam Khan,Jui zindbad,
Afzal Awan,Jutha molve,
Jamshed Jamshed,Kanjer muli,
Syed Asad Kazmi,Kashmir ka dakku diesel.,
Qaisar Warraich,Kashmir per siasat na kar fazloo kuttey,
Waqar Younas,Kena gawl khwra,
Qaisar Warraich,Khan aaj chooron ki awaz aa rahi hay,
Qaisar Warraich,Khan zindabad,
Irfan Khan,Khatme is k ghadru k yaar fazal Rehman ghadar fazal ghadar,
Irfan Khan,Khatme nabowat k ghadru k yaar fazal Rehman ghadar,
Sajid Khan,Kina tezana,
Naeem Khan,Kiray par lana bande molana,
Aman Ullah Khan,Kisi may dam he to Kar k dikhaye,
Saleh Rahman,kjanzaeer,
Tariq Walayat,Kokeen khan ki gaand maro,
Maqsood Bacha,Koni Gando KUTA  Harami,
Prince Mughal Mughal,Kuch nhi hoga desail,
Sufi Abdul Karim Ali,Kuch shram hoti haye kuch heyah hoti haye jo in may ni,
Jamshed Jamshed,Kursey ki bachai,
Syed Shahzad Ali,Kuta,
Saleh Khan,Kutta bhonk raha hai,
Muhammad Iqbal,kutta disal,
Munawar Iqbal,Kuttayy,
Javaid Nawab,Kuya,
Ahmed Saeed,Kya wada chor molvi ve tu,
Rizwan Butt,Lakh di lanat tere tey..diesel,
Syed Asad Kazmi,Lalach bikao mullah,
Md Faisal,LAn at barway diesel,
Aziz Khan,Lanat,
Sajid Nagari,Lanat,
Aghaasad Ali,LANAT,
Qaisar Warraich,Lanat,
Afzal Awan,Lanat,
Shaheen Zahid,Lanat  tery sayasat  pay,
Syed Asad Kazmi,Lanat diesel,
Chaudhary Akram,Lanat f,
Qaisar Warraich,Lanat fazloo lanat,
Nasir Ali Khan,Lanat ha tum per our tumharey hanadan per chor lotero,
Dildar Shah,Lanat ho jui par,
Nadeem Rana,Lanat ho Mulana tum per chor,
Mutahar Rizvi,Lanat ho tm pr,
Amir Khan,Lanat ho tom pr 100⁰0000000000,
Amir Khan,Lanat ho tom pr 2233300⁰00000⁰00,
Muhammad Ghulam,Lanat ho tum per,
Nadeem Rana,Lanat ho tum per chor,
عزیز کابلی دلسوز,Lanat man,
Karamat Ali,Lanat pti pur,
Shaheen Zahid,Lanat tum pay  fazlu,
Waheed Ahmed,Lanat tum per our is kuti per,
Syedqumar Abbas,Lanat tum sab par,
Qayyum Khan,Lanat.ho.tumhari.zat.per,
Gul Wahab,Lanati choor,
Ilyas Gujjar,Lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati,
Manzoor Ali,land hi dega imran Khan in sab ko,
Saif Urehman,Land.hoga,
Sardar Tauqeer,Lanit,
Muhammad Abid Mughal,Lannat,
Umair Javed Kambo,Lant ha chor pe,
Nadir Bin M Ali,Lant PDM pr sab chor or diesel waqeel choro ka,
Mkioottrtwmsvcjthbr Hruru Uejaugwfmurjbhduhc,Lante.  Mala,
Chaudhry Shahid,lanti,
Naseer Khan,Lanti,
Asif Muhammad,Lanti choor Milan,
Zaheer Ahmed Dar,LANTI CHORRRRRRRRRR GHADAR  ZALEEL LOGON KA TOLA.,
Ch Zia,Lanti insan dhari ke roop main sheitan ha yeh insan,
Ch Wasim,Lanti insan hai yar ye in begerton ko aesi baty karty b shram nai ati kis mu se ye bat kar lety hain sath wo choi b khari hai chwal chooor lanti,
Mohammed Hamid,Lanti lorg...pakistan dakoo movement,
Arslan Khan YOusaf Zai,Lantiii or lantan.,
Mohammad Iqbal,LantiPti,
Shahid Hussain,Last hope Imran Khan,
Mian Adil,Like,
Hidayat Ullah,lol,
Muhammad Hasnat,Lota,
Akbar Khan Yousafzai,Love you,
Akbar Khan Yousafzai,Love you mulana sahab,
Khalid Mahmood,lybia sey jo breef case tom laye thaye woh halal theye,
Alamzeb Khan,Ma behno ko emran khan ke darne me nachwane walo awar darne me gobare jama karne walo me sharam kedar he lanat is ke safutaro far bi,
Farman Behlola,Mafia,
Alfarabi Haqqani Afridi,Maghrbi dunya k lie qahar.Fazlurrahman,
Fazli Wahid Fazli Wahid,Maolana is great leader,
Touseef Khan,Mara da parchy na che sok khabare ky aga saray we,
Tabassum Parween,Maryum bi bi dead line Pai dead line daitay jaaiya,
Salim Mayari,Masha Allah,
Hafeez Khan,Masha allah,
Hakim Ali,Masha..allah dubai..sy,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Hakim Ali,Masha..allah dubai..sy j.u.i,
Abdullah Khan,Mashaallah molana sib,
Umar Gee,mashalla,
Arif Bajwa,Mashallah,
Kareem Khan,Mashallah,
Ajmal Mumtaz,Mashallah,
Asmat Ullah,mashallah,
Baitullah Khan,Mashallah,
Baitullah Khan,Mashallah,
Baitullah Khan,Mashallah,
Baitullah Khan,Mashallah,
Baitullah Khan,Mashallah,
Muhammad Ejaz,Mashallah molana zindabad Allah de kamyab lara.,
Muhib Ullah,Mashallah moulana salant rhoo,
Mufti Sab,Mashullah great lidr,
Fayaz Ahmad,Maulana saib zindabad,
Azeez Ahmd Husiani,Maulana zabardast,
Faizmk Faizmk,Mehrabani wak da makhluq  lag paqalara pareda,
Musharaf Hussain,Mera Tu Hi Chor Hai Pakistan ki sehat Ka Rishta Hai Sabse Bada Samundar Hai Jiska,
Sufi Abdul Karim Ali,Mir jafir,
Sufi Abdul Karim Ali,Mir jafir ki olad,
Rafiq Chaudhry,Mistook slave mentality as Brave Turkish brothers,
Chotu NaIn,Mix achar party,
Mian Sadam Mian Sadam,Mohafte s/b yhy ilfaz tomary sahat zihb nahi karty aghar khse nhy mahsla pohca hy toho usko is tahra  jawahb nahe dihaty toham masha Allah halim ho tohra sohchy,
Akbar Ali,Mola jood bolta y,
Kamran Haqqani,Molana great,
Rana Amir Rana Amer,Molana kis kamo me pary ho kabe koie achy kam b kar lo,
Siraj Ahmed,Molana Sab Gareet,
Khalid Mahmood,molana sultan golden banney ka muzahira kerein gey.,
Hasham Khan,Molana tire jurat ko salam,
Ch Taimoor,Molana tm pr,
انور انور,molana zinda bad,
Nomii NawAb,Molana zindabad,
Usman Baloch,Molana zindabad,
Akhtar Afridi,Molana zindabad,
Kareem Khan,Molna sab zandbad,
Kareem Khan,Molna sab zandbad,
Tahir Abbas Chohan,Molvi bs krdy,
Ahsan Chaudhary,Molvi pagil ho gay ha,
Qayyum Khan,Monafiqa.Allah de.tahba.ao.barbad ka.begharata,
Muhib Ullah,Moulana  zindabad,
Essam Khan,Moulana is no 1 Opposition  leader,
Tabassum Parween,Moulana saahub agla saiy bhi agla laah a amul bataatay raho Yoon paanch saal pooray ho hi jaaain gay,
Tabassum Parween,Moulana saahub paraishan hain in ka Jo ahtehsaab ho Raha hai ab bachain gai nahi moulaana saahub,
Faizan Ullah Faizan,Moulana the great,
Mir Muhammad Khan,Mujay Nawaz leak aur PPP per bohot Raham ata hai.jo banda khud ek seat na jeet sake.dono party uskey side hat band kar share hu han.,
Harris Vohra,Mulana gando  ...shakal pr he phetkaar hai,
Aamir Habib,Mulana Sahb qadam baraho ham tumharay sath hy,
Raham Gul,Mulana sb qabile ahatiram hy,
Abid Waheed Khattak,Mulana taba da,
Fiyaz Bloch,Mulana ziddabd maryam nawaz ziddabd,
Jamshed Abbasi,Mulla dezal ko seat day do koi nahi to yea iss mulk ko kha jay ga,
Syed Asad Kazmi,Mulla diesel go.,
Syed Asad Kazmi,Mulla diesel halwa.,
Syed Asad Kazmi,Mulla nascgiya.,
Syed Asad Kazmi,Mullah good dance with maryam.,
Rizwan Ahsan,Mulna znda bd,
Arhan Riyaz Rather,munafik shitan gadar,
Muhammad Irfan Muhammad Itfan,Munafiq diesal,
Mohammed Asif Butt,Munafiq diesel,
Ch Wasim,Munafiq loog lanti,
Fazal Khan,Munafiqeeno ka tola,
سربکف سربلند دیوبنددیوبند,Muolana saib zindabad,
Hashim Ali Khann,Must be arrest ...new train chale plz,
Arif Baloch,N r o,
Mohammad Mehboob Ayan Ali,"Na Guftagu,  Na muzakraat  Say Jaiga",
Nabeel Rabnawaz,Nations ap k sath nahi hai,
Edris Khan,Nazi,
Toqeer Khan,Niazi Fasadi,
Syed Asad Kazmi,Niazy respetable tribe.,
Ubaid Khan,Nic,
Ghani Ullah,nice,
Malik Irfan,Nice g,
Siraj Ahmed,Nice Gareet lideran,
Munawar Khan,Nice to say  maulana,
Yaseen Sadiq,Niiazi pr lant,
Kareem Khan,Niyzi kotta chor,
Umar Khan,No,
Muhammad Hasnat,O lota 4 karor ki lasi pna wali mashen dezal,
Syed Asad Kazmi,Pak army pdm ki gánd lal karegy.,
Syedqumar Abbas,Pak army zandabad,
Syed Asad Kazmi,Pak army zindabad,
Syed Asad Kazmi,Pak army zindabad,
Zubair Ahmad,"Pakistan k tamam haramkhor is munafiq ki leadership main, dushmano ka pysa istamal kar k mulk main inteshar phailana chahtty ha",
Sufi Abdul Karim Ali,Pakistan ka haram Khoor nasil,
Sufi Abdul Karim Ali,Pakistan ka mir jafir,
Sufi Abdul Karim Ali,Pakistan ka mir jafir haram Khoor nasil,
Niaz Khan,Pakistan ka sub say bara Munafiq aur Ghadar Desil ka jab say haraam band howa hai es kanjar ko doray phar rahay hain Aur moun py Allah ki Lanat bars rahi hai,
A Hameed,Pakistan ka wahid leader Imran khan,
Fahad Ali,Pashto mein baat karke Pathan ka naam kharab Karta Hai yah diesel Farhan diesel diesel diesel,
Syed Asad Kazmi,Pdm choor tola.,
Atta Ullah Khan Changezi,Pdm folp hoppcrec anti Pakistan and Pak army.,
Fazal Ghaffar,PDM is absolutely flop.Pakistan ka sathiya naas kia hai aap jaisay choro nay.shame,
Sheraz Ahmad Mughal,PDM rejected....,
Kaleem Ullah,Pdm zinda bad,
Jafar Attari Jafar,Pesy Ka Yaar molvi,
Kaleem Ullah,Pml zinda bad,
Sheraz Waheed Sheikh,PMLN PPP کا مذہبی لاوڈ سپیکر,
Anwar Ali,Polana pagall ho geya je.,
Syed Asad Kazmi,Ppp pdm se out,
Amir Muaviya Bin Sufian,Prime Minister Imran Khan is the integrity and face of Pakistan,
Qaisar Warraich,Pti zinda baf,
A Hameed,Pti zindabad,
Abbas Khan,Pti zindabad,
Aamir Habib,Qaide Sahb zinda bad,
Zakir Rahman,Qayed zindabad,
Muhib Khan,Right,
Shaukat Irfan,Ro Diesel Ro,
Farid Khan,Ro ro pdm ro,
Nasir Khan,Rooty rho mixx achaaar waaaaalo,
Hafiz Noor,Sacaaaah,
Hafiz Noor,Sach,
Mehtab Tailor,Sala Imran khan da,
Tariq Walayat,Salaam,
Ayan Ahmad,salute molana,
Syed Asad Kazmi,Sexy mulla go diesel go.,
A Hameed,Shaitani Azam Diesel Fuzla,
Usman Akram,Shakaly dekho in ki,
Syed Asad Kazmi,Shame less leader.mullah.,
Syed Asad Kazmi,Shame on diesel for kashmir remarks.,
Syed Asad Kazmi,Shame on diesel with larky lanty.,
Zahoor Ilahi,Shame on u,
Syed Asad Kazmi,Shame sexy mullah,
Bashir Kyani,Shatan ka kay cam ha,
Mumtaz Khan,Shetan,
Jamshed Jamshed,Shetan mula,
Shazeb Jan,Shukar ha hamara rozegar ha wa jawo jese ka rozegar harab ha molana ke tara,
Mohammed Hamid,"So PTI has filed all paperwork to Supreme Court. Why have u, noon league and PPP not done the same. Stop misleading pakistan....shame on u fazl for lying...",
Hafiz Noor,Sochny ki bat,
Dawood Ahmed,Sub ka ho ga,
Nasir Khan,Taso de ALLAH TBAAAH KR EERY Y,
Tahir Ismail Bhatti,teri ami us din jaldi so jati mulak ka bhala ho jana tha makar insan,
Hakim Sandhu,Tmy hakomat ni mily gi ab maolana,
Faisal Khan,Tri BHan ko yada niazi chuto,
Aziz Khan Pti,Tu kisa maulana her mahram awarat ke saat kanda melake kare ho ..islam me ye jaiz hai ????,
Zaman Khan,Tum apna churi chufani k liey jarey,
Akbar S. Uet,V good,
Hámééd Kháń,Very good,
Rai Shahid Imran,Very good Khan,
Ilyas Abbasi,Very good molna,
Agha Ghazi,Very nice,
Rafiq Shah,Video mn crow bool rahy hain awazen aa rahi hn,
V Yal Wazir,Wa g mulana,
Faizullah Faizi,Wah qaide,
Syed Asad Kazmi,Waqat ka bara dakku,
Sufi Abdul Karim Ali,Waqat ka munafiq,
Sufi Abdul Karim Ali,Waqet ka shatan,
Arif Baloch,Wawa,
Mubesher Sheraz Mubesher Sheraz,Wel don,
M Saleh Khan,Weldon mawlana,
Imran Khan,Well done,
Tariq Walayat,Well done,
Mehfooz Gul,Ya. Allah to dekh. raha ha ke aapke bhejey huey deen na libada oorh kar maulana Fazl e Rahman qaom KO ghalat raaste par chalane ke liey jhoot bol raha ha..islami jumhooria pakistan keaman aur istehkam kobarbad karna chahta ha..pakistan KO eski zihreeli…,
Sadam Lajwani,Yae sab se bara chor aor bhekari he,
Syed Qayyum Shah,Yahodi ejant ko jana hoga,
Younas Khan,Yahodi Indian dalal,
Tariq Walayat,Yahodi ko laat maro,
Ch Wasim,Yar kui isy goli mar dy kuty ki shkal waly ko,
Ch Wasim,Yar me jab b is saly ki shkal dekhta hon na muky khod bakhod galiy nikalti hain dari rakh k b aese kam karta hai ye lanti,
Malik Shahbaz Sappal,Ye shakal see Kia lgta hai khabees,
Rashid Mir,Yeah pakistan ka paka dushmen hey,
Syed Asad Kazmi,Yeh sath diesel que larky hay ya khusra hay.islam kidher giya.,
Ishtiaq Ahmed,Yes you right,
Rizwam Mrizwan,Zabradast,
Fazal Hadi Khan,Zandabad,
Shah Jee,Zbr10,
M Asif Sahib,Zendabad,
Furqan Imran,Zinda bad,
Asmat Ullah,zinda bad molana zinda bad,
Amjed Ali,ZINDA BAD PDM,
Faizan Ullah Faizan,Zindabad,
Tariq Walayat,Zindabad,
Jamil Mughal,Zindabad,
Jamil Mughal,Zindabad,
M Saleh Khan,Zindabad mashallah mawlana,
Israr Ahmad,Zindabad mullana,
Amjid Zaman Awan,Zindbad jui,
